id,season,doy,sample_id,fish_id,length,weight,weight_gonads,fecundity,age,age1,age2,age3,year,maturity,dillution,subsample_n,SS1,SS2,SS3,SS4,SS5,SS6,SS7,comment
117,C,157,463005,23,401,874.9,88.91,788000,6,,,,1984,5,,,,,,,,,,
118,C,157,463005,25,408,664.3,67.43,530000,10,,,,1984,5,,,,,,,,,,
119,C,157,463005,30,344,434,53.78,473000,3,,,,1984,5,2000,1,229,,,,,,,
120,C,157,437001,9,409,799.1,143.53,658000,,,,,1984,5,4000,2,170,330,,,,,,
121,C,157,437001,13,403,901.1,145.9,657333,,,,,1984,5,4000,3,172,315,495,,,,,
122,C,157,437001,24,405,855.4,144.64,874000,,,,,1984,5,4000,2,231,206,,,,,,
123,C,157,437001,25,421,936.7,164.85,672000,10,,,,1984,5,4000,3,142,327,506,,,,,
124,C,157,437001,31,356,514.6,66.75,502400,3,,,,1984,5,4000,5,175,312,399,513,632,,,
125,C,158,,1,418,921,174.47,954000,9,,,,1984,5,,,,,,,,,,
126,C,173,437004,3,395,677,75.3,664000,6,,,,1984,5,4000,4,168,156,178,162,,,,
127,C,173,437004,7,350,541.4,63.18,383500,3,,,,1984,5,3000,6,136,120,115,150,109,137,,
128,C,173,437004,8,429,855.7,87.06,586000,9,,,,1984,5,4000,4,143,131,176,136,,,,
129,C,173,437004,9,400,756.9,76.72,558667,8,,,,1984,5,4000,3,135,279,421,,,,,
130,C,173,437004,26,339,458.4,46.63,458000,3,,,,1984,5,2000,2,220,459,,,,,,
131,C,173,437004,28,378,578.7,49.64,269200,4,,,,1984,5,2000,5,161,150,116,115,131,,,
132,C,173,437004,30,374,586,52.19,501000,4,,,,1984,5,3000,4,187,166,131,184,,,,
133,C,173,437004,36,356,540.8,42.66,327500,,,,,1984,5,2000,4,176,171,146,162,,,,
134,C,176,437005,15,363,521.2,41.31,353000,4,,,,1984,5,2000,2,189,354,,,,,,
135,C,176,437005,27,322,415.2,53.49,178333,3,,,,1984,5,2000,6,112,203,301,369,450,540,,
136,C,177,437006,3,410,814.8,92.29,482666,9,,,,1984,5,4000,3,127,245,364,,,,,
137,C,179,437007,4,393,711.4,66.06,246500,,,,,1984,5,3000,6,80,91,71,81,85,85,,
138,C,179,437007,16,328,425.5,55.86,330000,3,,,,1984,5,3000,4,125,106,98,111,,,,
139,C,179,437007,32,342,453.2,51.85,297000,3,,,,1984,5,3000,6,85,86,98,116,101,108,,
140,C,180,437008,7,413,792.2,48.25,426000,6,,,,1984,5,2000,2,196,230,,,,,,
141,C,185,431002,1,384,652.4,45.81,241500,6,,,,1984,5,2000,4,109,254,371,486,,,,
142,C,185,431002,36,402,780.8,61.74,150400,10,,,,1984,5,2000,5,73,172,72,152,237,,,
143,C,185,431002,50,423,841.3,46.99,270000,10,,,,1984,5,2000,3,135,261,407,,,,,
144,C,185,431002,60,297,296.7,22.06,143333,2,,,,1984,5,1000,3,144,289,432,,,,,
145,C,185,431002,61,323,351.3,25.94,156667,3,,,,1984,5,1000,3,155,297,174,,,,,
146,C,199,433007,15,403,735.4,59.07,458000,6,,,,1984,5,4000,2,109,231,,,,,,
147,C,199,433007,17,399,785,99.73,638667,6,,,,1984,5,4000,3,166,328,481,,,,,
148,C,201,438001,19,335,414.8,34.86,209625,3,,,,1984,5,1500,4,128,259,423,562,,,,
149,C,136,463001,10,380,622.7,85.38,876000,,,,,1984,5,,,,,,,,,,
150,D,136,463001,8,399,691.3,73.43,866250,11,,,,1985,5,,,,,,,,,,
151,D,144,461002,2,440,1022.4,149.71,665333,12,,,,1985,5,,,,,,,,,,
152,D,144,461002,7,406,850.8,106.74,846000,,,,,1985,5,,,,,,,,,,
153,D,144,461002,16,371,638.1,99.88,784000,4,,,,1985,5,,,,,,,,,,
154,D,144,461002,24,434,939.4,148.8,850666,12,,,,1985,5,,,,,,,,,,
155,D,151,431001,1,430,1063.7,150.85,1610000,11,,,,1985,5,,,,,,,,,,
156,D,151,431001,4,398,906.1,175.57,1262000,,,,,1985,5,,,,,,,,,,
157,D,151,431001,10,402,810.1,85.33,696000,4,,,,1985,5,,,,,,,,,,
158,D,151,431001,14,351,557.2,120.74,696000,4,,,,1985,5,,,,,,,,,,
159,D,151,431001,15,376,605.1,96.86,813333,4,,,,1985,5,,,,,,,,,,
160,D,151,431001,19,429,960.5,183.95,1416000,,,,,1985,5,,,,,,,,,,
161,D,151,431001,32,411,875.7,155.26,1028000,7,,,,1985,5,,,,,,,,,,
162,D,154,431002,8,421,858,120.41,1018000,,,,,1985,5,,,,,,,,,,
163,D,154,431002,17,398,816.6,145.76,1136000,12,,,,1985,5,,,,,,,,,,
164,D,154,431002,26,402,811.3,133.85,1356000,11,,,,1985,5,,,,,,,,,,
165,D,154,431002,28,420,898.4,149.15,1170000,10,,,,1985,5,,,,,,,,,,
166,D,154,431002,34,416,1084.5,237.6,1380000,10,,,,1985,5,,,,,,,,,,
167,D,154,431002,36,430,1001.5,122.38,1324000,10,,,,1985,5,,,,,,,,,,
168,D,154,431002,37,339,446.2,70.93,768000,3,,,,1985,5,,,,,,,,,,
169,D,154,431002,40,430,972.2,140.18,1026000,11,,,,1985,5,,,,,,,,,,
170,D,154,463004,4,420,909.4,104.18,1098000,12,,,,1985,5,,,,,,,,,,
171,D,154,463004,10,358,510.4,44.19,585000,4,,,,1985,5,,,,,,,,,,
172,D,154,463004,14,422,877.2,96.79,702666,13,,,,1985,5,,,,,,,,,,
173,D,154,463004,21,419,870.3,114.49,900000,10,,,,1985,5,,,,,,,,,,
174,D,154,463004,24,339,457.2,46.84,516000,,,,,1985,5,,,,,,,,,,
175,D,154,463004,27,342,445,39.61,534000,4,,,,1985,5,,,,,,,,,,
176,D,156,463007,1,356,521.6,50.67,612000,5,,,,1985,5,,,,,,,,,,
177,D,156,463007,5,428,840.6,80.7,876000,7,,,,1985,5,,,,,,,,,,
178,D,156,463007,9,296,271.3,21.58,374000,3,,,,1985,5,,,,,,,,,,
179,D,156,463007,26,435,797.7,67.01,747000,,,,,1985,5,,,,,,,,,,
180,D,156,463007,33,332,373.1,37.54,466000,3,,,,1985,5,,,,,,,,,,
181,D,161,438001,23,370,551.5,46.75,514000,5,,,,1985,5,,,,,,,,,,
182,D,161,438001,33,409,436.7,101.76,529333,6,,,,1985,5,,,,,,,,,,
183,D,161,438001,34,345,452.1,42.17,462750,3,,,,1985,5,,,,,,,,,,
184,D,161,438001,42,411,732.2,67.19,568500,6,,,,1985,5,,,,,,,,,,
185,D,162,433001,1,369,511.4,56.43,378000,5,,,,1985,5,,,,,,,,,,
186,D,162,433001,12,338,353.1,40.8,308666,4,,,,1985,5,,,,,,,,,,
187,D,162,433001,17,366,514.4,53.42,299333,4,,,,1985,5,,,,,,,,,,
188,D,163,434001,12,398,634.1,98.93,422400,10,,,,1985,5,,,,,,,,,,
189,D,164,433002,19,369,529.5,66.99,495000,4,,,,1985,5,,,,,,,,,,
190,D,164,434002,4,355,519.4,74.41,754000,4,,,,1985,5,,,,,,,,,,
191,D,164,434002,6,345,414.2,35.01,326000,6,,,,1985,5,,,,,,,,,,
192,D,164,434002,14,320,340.5,32.73,436000,3,,,,1985,5,,,,,,,,,,
193,D,164,434003,2,379,630.6,105.27,838000,4,,,,1985,5,,,,,,,,,,
194,D,164,434003,5,360,509.5,89.02,414000,4,,,,1985,5,,,,,,,,,,
